mpID,wyckoff,number_of_atoms,equivalent_wyckoff_labels_number,synthesisability
icsd_127823,AB2C_hP8_164_d_cd_d:Ga-Ge-Te,8,4,1
icsd-52078,AB_hP4_186_b_b:O-Zn,4,2,1
icsd-48926,A3B3C4D12E6F3G16H3_hP100_173_c_c_ac_4c_2c_c_b5c_c:B-Ba-F-H-La-N-O-P,100,18,1
icsd-49634,A2BC4_oP28_62_ac_c_2cd:Ag-Cr-O,28,6,1
icsd_89957,AB2C5D_oC36_63_c_e_cfg_c:B-Na-O-Pu,36,6,1
icsd-138063,A2B9C5_hR192_167_2c_3f_bef:Ir-O-Rb,192,8,1
icsd-126587,A2BC4D_tP8_123_h_a_i_b:Bi-I-O-Yb,8,4,1
icsd_127989,ABC4_mC48_12_gi_hi_2i3j:Co-Mo-O,48,9,1
icsd_127120,A_oI28_24_a3d:C,28,4,1
icsd_119971,AB4C14D6_oP50_55_a_2g_4g3h_3h:Fe-Pb-S-Sb,50,13,1
icsd-200819,AB_hP4_186_b_b:O-Zn,4,2,1
icsd-176726,AB6C2D_cF40_225_a_e_c_b:Bi-Cl-Cs-Na,40,4,1
icsd_56056,A2BC15D4E2_mP96_14_2e_e_15e_4e_2e:Bi-Ca-O-P-Rb,96,24,1
icsd-145945,A15B7C2D30E_hR165_155_d2f_ade_c_5f_b:B-K-Lu-O-Pb,165,13,1
icsd-144657,A2BCD4_oP16_31_b_a_a_2ab:Ag-Fe-Ge-Se,16,6,1
icsd_119834,AB3C3D2_oP36_62_c_cd_cd_2c:C-La-N-O,36,7,1
icsd_127435,A5B4_cF72_227_ae_e:Fe-O,72,3,1
icsd_127966,AB3C3D3_aP20_2_i_3i_3i_3i:B-Dy-O-S,20,10,1
icsd-128825,AB3C_oP20_62_a_cd_c:Ce-O-Sr,20,4,1
icsd-138126,A2BC14D2_aP38_2_2i_i_14i_2i:Au-Ca-F-H,38,19,1
icsd-59458,AB4C_mP12_13_e_2g_f:Dy-O-Ta,12,4,1
icsd-137953,A6BC4D3_oF224_70_3h_c_2h_dh:H-La-N-Na,224,8,1
icsd-146543,A6BC5D4E13_oP116_29_6a_a_5a_4a_13a:B-Cl-H-Na-O,116,29,1
icsd-175673,A2B_mP144_14_24e_12e:Cu-S,144,36,1
icsd-174961,A4BC8D2E_oP64_19_4a_a_8a_2a_a:H-N-O-S-Sb,64,16,1
icsd-45882,A6B5_mC44_12_eg2ij_3ij:Fe-Ge,44,9,1
icsd-175223,AB6CD6_mP56_14_e_6e_e_6e:C-H-Mg-O,56,14,1
icsd-43110,AB_oP8_62_c_c:B-Fe,8,2,1
icsd-146955,ABC2_oP16_33_a_a_2a:Ga-Li-Se,16,4,1
icsd-148048,A2BC6D_mC20_12_i_a_ij_d:Ba-La-O-Ta,20,5,1
icsd-145380,A2B_oP24_61_2c_c:O-Ti,24,3,1
icsd_124425,A6B2C11D_aP40_2_6i_2i_11i_bc:H-N-O-U,40,21,1
icsd_129217,A2B4C_oP28_62_ac_2cd_c:Fe-O-Si,28,6,1
icsd_127659,A2B_tP6_136_f_a:O-Ti,6,2,1
icsd-149659,AB2C3_mC24_12_i_aci_ij:C-Na-O,24,6,1
icsd_61149,A4B24C3_hP62_190_cg_2g2h2i_h:Bi-F-Xe,62,9,1
icsd-137816,A6B17C27D4_mC216_15_ac2f_e8f_e13f_2f:Fe-H-O-P,216,29,1
icsd-174259,AB3C_hR30_167_b_e_a:Ni-O-Pr,30,3,1
icsd-176634,A5BC2_tI32_140_cl_a_h:Cl-Cs-Pb,32,4,1
icsd_127177,A5B3C2_tP40_128_egh_dh_h:Ge-Ru-Sm,40,6,1
icsd_139169,A2B_tP6_136_f_a:O-Si,6,2,1
icsd_85020,A3BC4D_oC36_63_cf_c_fg_c:Ba-Ge-S-Te,36,6,1
icsd-73772,A2BC2_hP5_164_d_a_d:H-Ni-O,5,3,1
icsd_137177,A2B4C_oP28_62_2c_2cd_c:Ba-O-Si,28,6,1
icsd-177025,ABC3_tI10_107_a_a_ab:Ce-Cu-Ga,10,4,1
icsd_91599,A7B2C2_oI44_74_ehj_ac_bd:F-Fe-Na,44,7,1
icsd-145441,A4B9C3_aP32_2_4i_9i_3i:B-O-Zn,32,16,1
icsd_119530,A2B3C2D2_mP18_14_e_ae_e_e:O-S-Sb-Sr,18,5,1
icsd-177530,AB12C2D2_oI34_44_a_abc2e_d_ab:Ba-F-Hf-K,34,9,1
icsd-147186,A2B7C2D4_oC120_35_def_abcde5f_def_4f:Cl-O-Si-Zn,120,20,1
icsd_127931,ABC3D_oP24_62_c_c_3c_c:Cu-Dy-Se-Sr,24,6,1
icsd-129330,AB3C14D2_oI80_74_e_eh_h2i2j_ac:Cs-Ga-Ge-Na,80,10,1
icsd-148623,A5BC4D12_aP22_2_e2i_d_2i_bc5i:Ba-Ca-Fe-O,22,13,1
icsd_127462,ABC28D7E9_hR276_161_a_a_a9b_a2b_3b:K-Mg-O-P-Sr,276,18,1
icsd-176321,A6B2C17D4_hP58_194_ab2f_e_fh2k_2f:Ba-Ho-O-Ti,58,11,1
icsd-146797,AB4C2D_mP32_14_e_4e_2e_e:C-H-N-Se,32,8,1
icsd-144600,ABC3_oP40_57_cd_e_cd2e:Na-Nb-O,40,7,1
icsd-126616,A2B2C7D_tP24_113_e_e_cef_a:Be-Er-O-Si,24,6,1
icsd-61870,AB4CD6_mP48_14_e_4e_e_6e:Ag-Ba-Fe-S,48,12,1
icsd-174936,AB2C_mP8_11_e_2e_e:Cl-O-Y,8,4,1
icsd_136859,A2B9CD_mP26_11_2e_3e3f_e_e:Cl-O-Pr-Re,26,10,1
icsd-46200,A8B4C_oP78_31_2a11b_6b_ab:N-P-Ti,78,21,1
icsd-70762,ABC6D2_cF40_225_a_b_e_c:Ag-Bi-Br-Cs,40,4,1
icsd-144483,A2B2C4D9E2_mP76_14_2e_2e_4e_9e_2e:B-F-K-O-P,76,19,1
icsd-146451,ABC3_tI10_107_a_a_ab:Co-Eu-Ge,10,4,1
icsd_128001,A5B12C_cF144_227_ae_g_b:Co-Mo-N,144,4,1
icsd-147240,AB9C2D2_mP28_13_e_f4g_g_g:Ag-F-Mo-O,28,8,1
icsd_116153,A3B6C_hP30_152_ac_3c_a:Hg-O-S,30,6,1
icsd_129485,A5BC6D2_mP112_14_10e_2e_12e_4e:Li-N-O-P,112,28,1
icsd-138472,A3BC_aP50_2_15i_5i_5i:O-Pb-Te,50,25,1
icsd-139263,AB13C2D4_oP160_61_c_13c_2c_4c:Co-O-Rb-Si,160,20,1
icsd-145841,ABC3_oP20_62_c_a_cd:Ba-Ce-O,20,4,1
icsd-48434,A2B3C6D_oP48_62_2c_cd_4cd_c:B-K-O-Pr,48,10,1
icsd_127531,A3B9C2D5E_oP160_31_4a4b_8a14b_8a_4a8b_4a:La-N-O-Si-Sr,160,54,1
icsd-70518,A2BC2D8E25_oP152_33_2a_a_2a_8a_25a:Ba-Ce-H-I-O,152,38,1
icsd-175848,A5BC3_tP36_136_g2i_f_fi:Cu-K-Se,36,6,1
icsd-144616,ABC_tI12_109_a_a_a:Al-La-Si,12,3,1
icsd_117538,ABC9D2_hP39_152_a_b_a4c_c:La-Na-O-S,39,8,1
icsd-149474,ABC2_hP8_194_a_c_f:Al-C-Ti,8,3,1
icsd-176337,A10BC2D20_mP132_13_10g_g_2g_20g:B-Ba-Na-O,132,33,1
icsd_56447,A2B_tI12_141_e_a:O-Ti,12,2,1
icsd_124872,A3BC3_tI224_142_3g_g_3g:As-In-Li,224,7,1
icsd-70324,A2B2C8D_oP52_62_d_d_2c3d_c:B-Ge-O-Sr,52,8,1
icsd-137912,ABC_hP9_189_f_bc_g:Al-Cu-Tb,9,4,1
icsd-146502,AB_cF8_225_a_b:N-U,8,2,1
icsd-174920,A2B5C4_mP22_14_e_a2e_2e:Cl-O-Sb,22,6,1
icsd-38809,AB3C_oP20_62_a_cd_c:Cr-O-Sm,20,4,1
icsd_124521,ABC9DE_mP52_14_e_e_9e_e_e:B-C-H-Li-N,52,13,1
icsd-175798,ABC3_hR30_167_a_b_e:B-Fe-O,30,3,1
icsd-176858,A2BC4_tI28_141_c_b_h:Cu-Ge-O,28,3,1
icsd_63836,ABCD3_mP24_14_e_e_e_3e:Co-F-I-O,24,6,1
icsd-175327,A2B2C12D3_cP76_198_2a_2a_4b_b:Co-K-O-S,76,9,1
icsd_57939,ABCD3_oC24_63_c_c_a_cf:Ag-Ba-Dy-Te,24,5,1
icsd_97322,A2B7C2_tP44_92_b_a3b_b:Ge-O-Yb,44,6,1
icsd_115769,A3BC4_tP16_114_ad_b_e:Na-Sb-Se,16,4,1
icsd-70261,A3B3C4D4_hP84_185_cd_cd_2cd_2cd:Cu-I-P-S,84,10,1
icsd-149248,A3B2C6D2E4_mC34_12_ai_i_3i_i_2i:C-Cl-N-O-Sm,34,9,1
icsd_128369,AB_oP8_62_c_c:As-Cr,8,2,1
icsd-146693,AB5C2D20E8_tP72_83_h_abjk_i_jk4l_2l:Cl-Cs-Cu-O-Si,72,14,1
icsd-176225,A3B4C12D_cI40_204_b_c_g_a:Cu-Mn-O-Pb,40,4,1
icsd_128693,A4B7CD13E2_tP432_126_4k_7k_k_13k_2k:As-H-K-O-Pt,432,27,1
icsd-149136,A3B6C6D4_cI38_217_b_d_e_c:Co-F-O-Sb,38,4,1
icsd_119967,AB4C14D6_mP50_14_a_2e_7e_3e:Fe-Pb-S-Sb,50,13,1
icsd-139234,ABCD3_oC24_63_c_a_c_cf:Cu-Lu-Sr-Te,24,5,1
icsd_127136,A_mC32_15_4f:C,32,4,1
icsd_137566,A3B3C_mP84_14_9e_9e_3e:Ag-S-Sb,84,21,1
icsd-138075,A4B2C_oP28_62_2cd_2c_c:Cl-Cs-Fe,28,6,1
icsd-147578,ABC3_tI20_140_c_b_ah:Al-Gd-O,20,4,1
icsd-138425,ABC2D2_oP24_62_c_c_2c_2c:B-H-N-Sr,24,6,1
icsd_132621,A2BC2D6_oP88_61_2c_c_2c_6c:C-Ca-Na-O,88,11,1
icsd-49767,AB2CD6_mP20_14_a_e_d_3e:Co-Dy-Mn-O,20,6,1
icsd_60172,ABC2_mP16_14_e_e_2e:B-Li-O,16,4,1
icsd_115801,A2B6CD_cF40_225_c_e_a_b:Ba-O-Re-Zn,40,4,1
icsd_127423,A2B_hP9_152_c_a:O-Si,9,2,1
icsd-45744,AB2C4_cF56_227_a_d_e:Li-Mn-O,56,3,1
icsd-149589,AB3C9D2_oP60_62_c_cd_5c2d_2c:Ca-Fe-O-Si,60,12,1
icsd_127073,A_oC16_63_2g:C,16,2,1
icsd-176730,AB6C2D_tI20_139_a_eh_d_b:Bi-Cl-Cs-Na,20,5,1
icsd_61919,A2B_tP6_136_f_a:O-Sn,6,2,1
icsd-145379,A2B_tP6_136_f_a:O-Ti,6,2,1
icsd-47903,A5B3C_hP18_193_dg_g_b:Bi-Sm-Zr,18,4,1
icsd-146555,A2B4C3D8_oP68_60_d_2d_3c_4d:Ga-La-O-S,68,10,1
icsd-70373,A19BC7_hP54_188_ghk2l_a_cl:O-Sm-Ta,54,8,1
icsd_128555,A6B_cP7_221_e_b:B-La,7,2,1
icsd_124825,A6B3C4D27E3_mC86_8_3b_ab_2b_3a12b_ab:B-H-Mo-O-Pr,86,24,1
icsd-43940,A8B12C2D_oF184_70_2h_3h_e_a:H-O-S-Zr,184,7,1
icsd-42347,ABCD6_aP36_2_2i_2i_2i_12i:I-Mo-Na-O,36,18,1
icsd_124433,A8B6C14D_mP58_14_4e_3e_7e_a:H-N-O-U,58,15,1
icsd-174998,A12B3C31D7_oP212_33_12a_3a_31a_7a:Na-Nb-O-P,212,53,1
